#Release 9.2i - par J.36
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Sat Apr 04 11:28:57 2009

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       sistema_mic1_map.ncd
#OUTPUT FILE:      C:/Documents and Settings/caccolillo/Desktop/ccellar_mic_vhdl/mic1_/mppr_result.dir/M_M_1_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
B13,uscita_pc<12>,IOB,IO_L05N_0/VREF_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
B14,uscita_pc<15>,IOB,IO_L04P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
B15,,DIFFMI,IP_L02P_0,UNUSED,,0,,,,,,,,,,
B16,,DIFFM,IO_L01P_0,UNUSED,,0,,,,,,,,,,
B17,,,GND,,,,,,,,,,,,,
B18,,IBUF,IP,UNUSED,,1,,,,,,,,,,
C1,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,,
C2,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,,
C3,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,,
C4,,IOB,IO,UNUSED,,0,,,,,,,,,,
C5,uscita_mar<17>,IOB,IO_L23P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
C6,,,VCCO_0,,,0,,,,,2.50,,,,,
C7,uscita_mar<23>,IOB,IO_L18P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
C8,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,,
C9,uscita_pc<28>,IOB,IO_L14P_0/GCLK10,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
C10,,,GND,,,,,,,,,,,,,
C11,uscita_pc<30>,IOB,IO_L09P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
C12,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,,
C13,,,VCCO_0,,,0,,,,,2.50,,,,,
C14,ce_ram,IOB,IO_L03N_0/VREF_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
C15,,IBUF,IP,UNUSED,,0,,,,,,,,,,
C16,,,TDO,,,,,,,,,,,,,
C17,uscita_pc<0>,IOB,IO_L24N_1/LDC2,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
C18,uscita_pc<6>,IOB,IO_L24P_1/LDC1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
D1,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,,
D2,,DIFFS,IO_L02N_3/VREF_3,UNUSED,,3,,,,,,,,,,
D3,,IBUF,IP,UNUSED,,3,,,,,,,,,,
D4,,,NC,,,,,,,,,,,,,
D5,uscita_mar<16>,IOB,IO_L23N_0/VREF_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
D6,,,NC,,,,,,,,,,,,,
D7,uscita_mar<30>,IOB,IO_L18N_0/VREF_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
D8,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,,
D9,ce_rom,IOB,IO_L14N_0/GCLK11,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
D10,uscita_pc<27>,IOB,IO_L11P_0/GCLK4,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
D11,uscita_pc<26>,IOB,IO_L09N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
D12,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,,
D13,,IBUF,IP,UNUSED,,0,,,,,,,,,,
D14,uscita_pc<8>,IOB,IO_L03P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
D15,,,TMS,,,,,,,,,,,,,
D16,uscita_pc<3>,IOB,IO_L23N_1/LDC0,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
D17,rd,IOB,IO_L23P_1/HDC,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
D18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,,
E1,,DIFFS,IO_L03N_3,UNUSED,,3,,,,,,,,,,
E2,,DIFFM,IO_L03P_3,UNUSED,,3,,,,,,,,,,
E3,,,NC,,,,,,,,,,,,,
E4,,,NC,,,,,,,,,,,,,
E5,,,VCCINT,,,,,,,,1.2,,,,,
E6,,,NC,,,,,,,,,,,,,
E7,uscita_mar<9>,IOB,IO_L19N_0/VREF_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
E8,,DIFFM,IO_L17P_0,UNUSED,,0,,,,,,,,,,
E9,,DIFFM,IO_L15P_0,UNUSED,,0,,,,,,,,,,
E10,uscita_pc<18>,IOB,IO_L11N_0/GCLK5,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
E11,uscita_pc<11>,IOB,IO_L08P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
E12,uscita_pc<23>,IOB,IO_L06N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
E13,uscita_pc<22>,IOB,IO,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
E14,,,VCCINT,,,,,,,,1.2,,,,,
E15,,,NC,,,,,,,,,,,,,
E16,,,NC,,,,,,,,,,,,,
E17,uscita_pc<16>,IOB,IO,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
E18,,IBUF,IP,UNUSED,,1,,,,,,,,,,
F1,uscita_mar<22>,IOB,IO_L05P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
F2,uscita_mar<25>,IOB,IO_L05N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,,
F4,uscita_mar<20>,IOB,IO,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
F5,,IBUF,IP,UNUSED,,3,,,,,,,,,,
F6,,,VCCINT,,,,,,,,1.2,,,,,
F7,uscita_mar<24>,IOB,IO_L19P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
F8,uscita_mar<28>,IOB,IO_L17N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
F9,uscita_mar<29>,IOB,IO_L15N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
F10,,DIFFMI,IP_L10P_0,UNUSED,,0,,,,,,,,,,
F11,uscita_pc<17>,IOB,IO_L08N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
F12,uscita_pc<25>,IOB,IO_L06P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
F13,,,VCCINT,,,,,,,,1.2,,,,,
F14,ingresso_mbr<7>,IOB,IO_L21N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
F15,ingresso_mbr<5>,IOB,IO_L21P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
F16,,,VCCO_1,,,1,,,,,2.50,,,,,
F17,ingresso_mbr<3>,IOB,IO_L19N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
F18,uscita_pc<21>,IOB,IO_L19P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
G1,,IBUF,IP,UNUSED,,3,,,,,,,,,,
G2,,,VCCAUX,,,,,,,,2.5,,,,,
G3,uscita_mar<27>,IOB,IO_L06P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
G4,uscita_mar<12>,IOB,IO_L06N_3/VREF_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
G5,uscita_mar<19>,IOB,IO_L07N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
G6,uscita_mar<18>,IOB,IO_L07P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
G7,,,GND,,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,,
G9,,IOB,IO,UNUSED,,0,,,,,,,,,,
G10,,DIFFSI,IP_L10N_0,UNUSED,,0,,,,,,,,,,
G11,,,VCCO_0,,,0,,,,,2.50,,,,,
G12,,,GND,,,,,,,,,,,,,
G13,ingresso_mbr<6>,IOB,IO_L20N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
G14,ingresso_mbr<1>,IOB,IO_L20P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
G15,ingresso_mbr<0>,IOB,IO_L18P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
G16,ingresso_mbr<4>,IOB,IO_L18N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
G17,,,VCCAUX,,,,,,,,2.5,,,,,
G18,,IBUF,IP,UNUSED,,1,,,,,,,,,,
H1,uscita_mar<10>,IOB,IO_L10N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
H2,ce_uart,IOB,IO_L10P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
H3,uscita_mar<14>,IOB,IO_L09N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
H4,uscita_mar<11>,IOB,IO_L09P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
H5,uscita_mar<26>,IOB,IO_L08N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
H6,uscita_mar<15>,IOB,IO_L08P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,,
H8,,,GND,,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,,
H13,,IBUF,IP,UNUSED,,1,,,,,,,,,,
H14,ingresso_mbr<2>,IOB,IO_L17P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
H15,io_mdr<30>,IOB,IO_L17N_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
H16,io_mdr<18>,IOB,IO_L16P_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
H17,fetch,IOB,IO_L16N_1/A0,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
H18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,,
J1,uscita_mar<7>,IOB,IO_L12P_3/LHCLK2,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
J2,uscita_mar<8>,IOB,IO_L12N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
J3,,,GND,,,,,,,,,,,,,
J4,,DIFFS,IO_L11N_3/LHCLK1,UNUSED,,3,,,,,,,,,,
J5,uscita_pc<9>,IOB,IO_L11P_3/LHCLK0,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
J6,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,,
J7,,IBUF,IP,UNUSED,,3,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,,
J12,io_mdr<22>,IOB,IO_L15P_1/A2,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
J13,uscita_pc<19>,IOB,IO_L15N_1/A1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
J14,io_mdr<28>,IOB,IO_L14N_1/A3/RHCLK7,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
J15,uscita_pc<7>,IOB,IO_L14P_1/A4/RHCLK6,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
J16,uscita_pc<29>,IOB,IO_L13N_1/A5/RHCLK5,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
J17,io_mdr<26>,IOB,IO_L13P_1/A6/RHCLK4/IRDY1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,,
K2,,IBUF,IP,UNUSED,,3,,,,,,,,,,
K3,,DIFFM,IO_L13P_3/LHCLK4/TRDY2,UNUSED,,3,,,,,,,,,,
K4,,DIFFS,IO_L13N_3/LHCLK5,UNUSED,,3,,,,,,,,,,
K5,,DIFFS,IO_L14N_3/LHCLK7,UNUSED,,3,,,,,,,,,,
K6,,DIFFM,IO_L14P_3/LHCLK6,UNUSED,,3,,,,,,,,,,
K7,,IBUF,IP,UNUSED,,3,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,,
K12,io_mdr<17>,IOB,IO_L11N_1/A9/RHCLK1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
K13,io_mdr<23>,IOB,IO_L11P_1/A10/RHCLK0,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
K14,io_mdr<8>,IOB,IO_L12N_1/A7/RHCLK3/TRDY1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
K15,io_mdr<20>,IOB,IO_L12P_1/A8/RHCLK2,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
K16,,,GND,,,,,,,,,,,,,
K17,,IBUF,IP,UNUSED,,1,,,,,,,,,,
K18,,IBUF,IP,UNUSED,,1,,,,,,,,,,
L1,,DIFFM,IO_L15P_3,UNUSED,,3,,,,,,,,,,
L2,,DIFFS,IO_L15N_3,UNUSED,,3,,,,,,,,,,
L3,,DIFFM,IO_L16P_3,UNUSED,,3,,,,,,,,,,
L4,,DIFFS,IO_L16N_3,UNUSED,,3,,,,,,,,,,
L5,leds<0>,IOB,IO_L17N_3/VREF_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
L6,leds<1>,IOB,IO_L17P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,,
L8,,,GND,,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,,
L13,,IBUF,IP,UNUSED,,1,,,,,,,,,,
L14,,IBUF,IP,UNUSED,,1,,,,,,,,,,
L15,io_mdr<21>,IOB,IO_L09N_1/A11,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
L16,io_mdr<10>,IOB,IO_L09P_1/A12,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
L17,io_mdr<31>,IOB,IO_L10N_1/VREF_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
L18,io_mdr<9>,IOB,IO_L10P_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
M1,,IBUF,IP,UNUSED,,3,,,,,,,,,,
M2,,,VCCAUX,,,,,,,,2.5,,,,,
M3,leds<2>,IOB,IO_L18N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
M4,leds<3>,IOB,IO_L18P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
M5,,DIFFM,IO_L19P_3,UNUSED,,3,,,,,,,,,,
M6,,DIFFS,IO_L19N_3,UNUSED,,3,,,,,,,,,,
M7,,,GND,,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,,
M9,io_mdr<3>,IOB,IO_L12N_2/D6/GCLK13,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
M10,io_mdr<19>,IOB,IO_L16P_2/M0,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
M11,,,VCCO_2,,,2,,,,,2.50,,,,,
M12,,,GND,,,,,,,,,,,,,
M13,uscita_pc<2>,IOB,IO_L05N_1/VREF_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
M14,uscita_pc<4>,IOB,IO_L05P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
M15,io_mdr<13>,IOB,IO_L07P_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
M16,io_mdr<15>,IOB,IO_L07N_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
M17,,,VCCAUX,,,,,,,,2.5,,,,,
M18,io_mdr<11>,IOB,IO_L08N_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
N1,,IBUF,IP,UNUSED,,3,,,,,,,,,,
N2,,IBUF,IP,UNUSED,,3,,,,,,,,,,
N3,,,VCCO_3,,,3,,,,,2.50,,,,,
N4,,DIFFM,IO_L20P_3,UNUSED,,3,,,,,,,,,,
N5,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,,
N6,,,VCCINT,,,,,,,,1.2,,,,,
N7,,DIFFM,IO_L07P_2,UNUSED,,2,,,,,,,,,,
N8,TXD,IOB,IO_L09N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,YES,NONE,
N9,io_mdr<0>,IOB,IO_L12P_2/D7/GCLK12,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
N10,io_mdr<1>,IOB,IO_L16N_2/DIN/D0,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
N11,io_mdr<7>,IOB,IO_L18N_2,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
N12,,,NC,,,,,,,,,,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,,
N14,,,NC,,,,,,,,,,,,,
N15,,,NC,,,,,,,,,,,,,
N16,,,VCCO_1,,,1,,,,,2.50,,,,,
N17,,IBUF,IP,UNUSED,,1,,,,,,,,,,
N18,io_mdr<12>,IOB,IO_L08P_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
P1,,DIFFS,IO_L21N_3,UNUSED,,3,,,,,,,,,,
P2,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,,
P3,,,NC,,,,,,,,,,,,,
P4,,,NC,,,,,,,,,,,,,
P5,,,VCCINT,,,,,,,,1.2,,,,,
P6,uscita_mar<3>,IOB,IO_L05N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
P7,,DIFFS,IO_L07N_2,UNUSED,,2,,,,,,,,,,
P8,leds<5>,IOB,IO_L09P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
P9,leds<4>,IOB,IO,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
P10,io_mdr<4>,IOB,IO_L15N_2/D1/GCLK3,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
P11,io_mdr<6>,IOB,IO_L18P_2,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
P12,,,NC,,,,,,,,,,,,,
P13,wr,IOB,IO_L22P_2/A23,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
P14,,,VCCINT,,,,,,,,1.2,,,,,
P15,,IOB,IO,UNUSED,,1,,,,,,,,,,
P16,,,NC,,,,,,,,,,,,,
P17,uscita_pc<1>,IOB,IO_L06P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
P18,uscita_pc<5>,IOB,IO_L06N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
R1,,IBUF,IP,UNUSED,,3,,,,,,,,,,
R2,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,,
R3,,DIFFM,IO_L23P_3,UNUSED,,3,,,,,,,,,,
R4,,IOB,IO/VREF_3,UNUSED,,3,,,,,,,,,,
R5,,DIFFM,IO_L04P_2,UNUSED,,2,,,,,,,,,,
R6,uscita_mar<2>,IOB,IO_L05P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
R7,,DIFFSI,IP_L08N_2,UNUSED,,2,,,,,,,,,,
R8,io_mdr<29>,IOB,IO_L10P_2,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
R9,io_mdr<25>,IOB,IO/D5,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
R10,io_mdr<27>,IOB,IO_L15P_2/D2/GCLK2,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
R11,io_mdr<14>,IOB,IO,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
R12,uscita_mar<5>,IOB,IO_L20N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
R13,uscita_mar<6>,IOB,IO_L22N_2/A22,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
R14,,DIFFS,IO_L24N_2/A20,UNUSED,,2,,,,,,,,,,
R15,,DIFFM,IO_L03P_1,UNUSED,,1,,,,,,,,,,
R16,,DIFFS,IO_L03N_1/VREF_1,UNUSED,,1,,,,,,,,,,
R17,,IBUF,IP,UNUSED,,1,,,,,,,,,,
R18,,DIFFM,IO_L02P_1/A14,UNUSED,,1,,,,,,,,,,
T1,uscita_mar<1>,IOB,IO_L24N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
T2,uscita_mar<0>,IOB,IO_L24P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
T3,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,,
T4,,DIFFS,IO_L03N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,,
T5,,DIFFS,IO_L04N_2,UNUSED,,2,,,,,,,,,,
T6,,,VCCO_2,,,2,,,,,2.50,,,,,
T7,,DIFFMI,IP_L08P_2,UNUSED,,2,,,,,,,,,,
T8,io_mdr<2>,IOB,IO_L10N_2,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
T9,,,GND,,,,,,,,,,,,,
T10,,DIFFSI,IP_L14N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,,
T11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,,
T12,uscita_mar<4>,IOB,IO_L20P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,,
T14,,DIFFM,IO_L24P_2/A21,UNUSED,,2,,,,,,,,,,
T15,,IOB,IO/VREF_2,UNUSED,,2,,,,,,,,,,
T16,,DIFFM,IO_L26P_2/VS0/A17,UNUSED,,2,,,,,,,,,,
